Name,Playtime,Store URL,AppID,Genre,Base64 Image,Image URL,Game Complete
Counter-Strike: Source,212,http://store.steampowered.com/app/240,240,,,,
Team Fortress Classic,0,http://store.steampowered.com/app/20,20,,,,
Half-Life: Opposing Force,65,http://store.steampowered.com/app/50,50,,,,
Half-Life,104,http://store.steampowered.com/app/70,70,,,,
Half-Life: Blue Shift,535,http://store.steampowered.com/app/130,130,,,,
Garry's Mod,160,http://store.steampowered.com/app/4000,4000,,,,
Tomb Raider: Legend,66,http://store.steampowered.com/app/7000,7000,,,,
Tomb Raider: Anniversary,247,http://store.steampowered.com/app/8000,8000,,,,
DOOM 3,35,http://store.steampowered.com/app/9050,9050,,,,
DOOM 3: Resurrection of Evil,1,http://store.steampowered.com/app/9070,9070,,,,
DOOM 3: BFG Edition,0,http://store.steampowered.com/app/208200,208200,,,,
Quake III Arena,230,http://store.steampowered.com/app/2200,2200,,,,
Quake,287,http://store.steampowered.com/app/2310,2310,,,,
Quake II,272,http://store.steampowered.com/app/2320,2320,,,,
Quake II: The Reckoning,0,http://store.steampowered.com/app/2330,2330,,,,
Quake II: Ground Zero,1,http://store.steampowered.com/app/2340,2340,,,,
Quake III: Team Arena,188,http://store.steampowered.com/app/2350,2350,,,,
Quake Mission Pack 2: Dissolution of Eternity,7,http://store.steampowered.com/app/9030,9030,,,,
Quake Mission Pack 1: Scourge of Armagon,0,http://store.steampowered.com/app/9040,9040,,,,
Half-Life 2,241,http://store.steampowered.com/app/220,220,,,,
Half-Life 2: Deathmatch,0,http://store.steampowered.com/app/320,320,,,,
Half-Life 2: Lost Coast,0,http://store.steampowered.com/app/340,340,,,,
Half-Life Deathmatch: Source,0,http://store.steampowered.com/app/360,360,,,,
Half-Life 2: Episode One,18,http://store.steampowered.com/app/380,380,,,,
Portal,328,http://store.steampowered.com/app/400,400,,,,
Half-Life 2: Episode Two,0,http://store.steampowered.com/app/420,420,,,,
Grand Theft Auto III,452,http://store.steampowered.com/app/12100,12100,,,,
Grand Theft Auto III,0,http://store.steampowered.com/app/12230,12230,,,,
Unreal Tournament 3: Black Edition,729,http://store.steampowered.com/app/13210,13210,,,,
Tomb Raider: Underworld,0,http://store.steampowered.com/app/8140,8140,,,,
Braid,0,http://store.steampowered.com/app/26800,26800,,,,
The Secret of Monkey Island: Special Edition,177,http://store.steampowered.com/app/32360,32360,,,,
STAR WARS Knights of the Old Republic,1338,http://store.steampowered.com/app/32370,32370,,,,
STAR WARS Jedi Knight: Jedi Academy,79,http://store.steampowered.com/app/6020,6020,,,,
STAR WARS Jedi Knight II: Jedi Outcast,0,http://store.steampowered.com/app/6030,6030,,,,
STAR WARS Jedi Knight: Dark Forces II,0,http://store.steampowered.com/app/32380,32380,,,,
STAR WARS Jedi Knight: Mysteries of the Sith,0,http://store.steampowered.com/app/32390,32390,,,,
STAR WARS: Dark Forces,11,http://store.steampowered.com/app/32400,32400,,,,
Call of Duty: Modern Warfare 2 (2009),158,http://store.steampowered.com/app/10180,10180,,,,
Call of Duty: Modern Warfare 2 (2009) - Multiplayer,0,http://store.steampowered.com/app/10190,10190,,,,
Left 4 Dead 2,110,http://store.steampowered.com/app/550,550,,,,
Serious Sam HD: The First Encounter,0,http://store.steampowered.com/app/41000,41000,,,,
Serious Sam Fusion 2017 (beta),70,http://store.steampowered.com/app/564310,564310,,,,
Fallout 3 - Game of the Year Edition,62,http://store.steampowered.com/app/22370,22370,,,,
FINAL FANTASY XI,2,http://store.steampowered.com/app/23360,23360,,,,
Arma 2,1,http://store.steampowered.com/app/33910,33910,,,,
Arma 2: Operation Arrowhead,391,http://store.steampowered.com/app/33930,33930,,,,
Arma 2: Operation Arrowhead Beta (Obsolete),0,http://store.steampowered.com/app/219540,219540,,,,
Monkey Island 2: Special Edition,0,http://store.steampowered.com/app/32460,32460,,,,
Rhythm Zone,63,http://store.steampowered.com/app/38900,38900,,,,
Sid Meier's Civilization V,213,http://store.steampowered.com/app/8930,8930,,,,
Dead Rising 2,0,http://store.steampowered.com/app/45740,45740,,,,
Call of Duty: Black Ops,494,http://store.steampowered.com/app/42700,42700,,,,
Call of Duty: Black Ops - Multiplayer,2013,http://store.steampowered.com/app/42710,42710,,,,
Borderlands GOTY,304,http://store.steampowered.com/app/8980,8980,,,,
Borderlands GOTY Enhanced,52,http://store.steampowered.com/app/729040,729040,,,,
Super Meat Boy,16,http://store.steampowered.com/app/40800,40800,,,,
Lara Croft and the Guardian of Light,0,http://store.steampowered.com/app/35130,35130,,,,
Magicka,1549,http://store.steampowered.com/app/42910,42910,,,,
Sonic Adventure DX,3,http://store.steampowered.com/app/71250,71250,,,,
Anomaly Warzone Earth,0,http://store.steampowered.com/app/91200,91200,,,,
Portal 2,276,http://store.steampowered.com/app/620,620,,,,
Terraria,7560,http://store.steampowered.com/app/105600,105600,,,,
E.Y.E: Divine Cybermancy,0,http://store.steampowered.com/app/91700,91700,,,,
Duke Nukem Forever,258,http://store.steampowered.com/app/57900,57900,,,,
S.T.A.L.K.E.R.: Shadow of Chernobyl,19,http://store.steampowered.com/app/4500,4500,,,,
